"selection1_name","selection1_selection2","selection1_selection3"
"Alibaba 40 Dongalu","",""
"Barrister Parvateesam","R. Prakash","L. V. Prasad, G. Varalakshmi, Lanka Satyam"
"Bhoja Kalidasu","",""
"Bhookailash","",""
"Bondam Pelli","D. L. Ramachandran","Sitaramaiah, Lakshmaiah, Vijayamma, Rusheyndramani"
"Chaduvukunna Bharya","R. Prakash",""
"Chandika","R. S. Prakash","Kannamba, Vemuri Gaggaiah, Lalita Devi, Ballari Raghava, Munukuntla, Chandramouli, Aarani"
"Illalu","",""
"Jeevana Jyothi (1940 film)","",""
"Kunkamma Kaatuka Pampamma Bhaatuka","",""
"Kalachakram","",""
"Mahiravana","",""
"Malathi Madhavam","C. Pullaiah","Pushpavalli, Srinivasa Rao, Relangi, Sivarao, kameswara Rao,"
"Meerabhai","",""
"Sumangali","B.N. Reddi","Chittor V. Nagaiah, Giri A.S, Kumari, Malathi"
"Usha Parinayam","Kadaru Nagabhushanam",""
"Vishwamohini","Y. V. Rao","Chittor V. Nagaiah, Bezawada Rajarathnam, Y.V. Rao, Pushpavalli"
"Apavadhu","",""
"Bhaktimala (film)","Haribhai Raghunathji Desai","B. Ramakrishnaiah Panthulu, Bhanumati, Adhanki Sriramurthy, G. V. Seethapathi Rao, Miss P. Venkatagiri, Kakinada Rajaratnam, Kondalarao, M. Lingamurthy, Kutumbasastry, etc.,"
"Chandrahaasa","",""
"Choodamani","P. K. Raja Sandow","Pushpavalli, C. S. R. Anjaneyulu"
"Dakshayagna Vijayam yekshaprahna rahasyam","",""
"Devatha","B.N. Reddi","Chittor V. Nagaiah, Kumari, Mudigonda Lingamurthy, Bezawada Rajarathnam"
"Dharma Patni","P. Pullaiah","Uppuloori Hanumantharao, Bhanumati, P .Santha Kumari"
"Mahatma Gandhi","",""
"Parvati Kalyanam","",""
"Tenali Ramakrishna","",""
"Talli Prema","Jyotish Sinha","C. S. R. Anjaneyulu, Kannamba, Hemalatha"
"Tara Sasankam","R. S. Prakash","P. Suri Babu"
"Babruvahana","",""
"Bala Nagamma","Chittajalu Pullayya","Kanchanamala, Govindrajulu Subba Rao, Relangi Venkata Ramaiah"
"Bhakta Potana","Kadri Venkata Reddy","Chittor V. Nagaiah, Mudigonda Lingamurthy, Hemalatha"
"Bhale Pelli","",""
"Deena Bandhu","",""
"Honest Rogue ledu ee movie","",""
"Jeevana Mukthi","",""
"Maayala Marati","",""
"Patni","",""
"Satyabhama","Y.V. Rao","Y.V. Rao, Pushpavalli, Narasimha Rao Sthanam, Srirama Murthy Addanki"
"Sumathi","",""
"Tarumaru","",""
"Bhagyalakshmi","",""
"Bhakta Kabiru","",""
"Garuda Garvabhangam","Ghantasala Balaramaiah","Vemuri Gaggaiah, Ramakrishna Sastry, Bhanumati, Vedantam Raghavaiah"
"Krishna Leela","",""
"Krishna Prema","Hanumappa Vishwanath Babu","Venkateswara Rao Gali, Santha Kumari P, Hemavathi, Bhanumati"
"Pathi Bhakti","",""
"Bhishma","Chitrapu Narayana Rao","Jandhyala Gaurinatha Sastri, C. Krishnaveni, Sriranjani"
"Circus King (1944 film)","",""
